ts,Open,High,Low,Close,Volume
2026-02-26 09:51:00,1880,1885,1880,1880,11
2026-02-26 09:52:00,1885,1885,1880,1880,4
2026-02-26 09:53:00,1880,1885,1880,1880,6
2026-02-26 09:54:00,1880,1885,1880,1880,6
2026-02-26 09:55:00,1880,1885,1880,1880,8
2026-02-26 09:56:00,1880,1885,1880,1885,8
2026-02-26 09:57:00,1880,1885,1880,1885,8
2026-02-26 09:58:00,1885,1890,1885,1890,57
2026-02-26 09:59:00,1890,1895,1885,1890,129
2026-02-26 10:00:00,1890,1895,1890,1890,14
2026-02-26 10:01:00,1890,1895,1890,1890,15
2026-02-26 10:02:00,1890,1890,1890,1890,10
2026-02-26 10:03:00,1890,1890,1890,1890,22
2026-02-26 10:04:00,1890,1895,1890,1890,20
2026-02-26 10:05:00,1890,1895,1890,1895,191
2026-02-26 10:06:00,1895,1900,1890,1895,69
2026-02-26 10:07:00,1900,1900,1895,1895,7
2026-02-26 10:08:00,1895,1895,1890,1895,36
2026-02-26 10:09:00,1890,1895,1890,1895,28
2026-02-26 10:10:00,1900,1900,1890,1890,22
2026-02-26 10:11:00,1895,1895,1890,1890,2
2026-02-26 10:12:00,1890,1895,1890,1895,6
2026-02-26 10:13:00,1890,1895,1890,1890,6
2026-02-26 10:14:00,1890,1890,1885,1890,47
2026-02-26 10:15:00,1885,1895,1885,1890,18
2026-02-26 10:16:00,1890,1890,1890,1890,5
2026-02-26 10:17:00,1890,1890,1890,1890,4
2026-02-26 10:18:00,1895,1895,1890,1895,5
2026-02-26 10:19:00,1890,1890,1890,1890,3
2026-02-26 10:20:00,1890,1890,1885,1885,5
2026-02-26 10:21:00,1890,1890,1890,1890,1
2026-02-26 10:22:00,1890,1890,1890,1890,5
2026-02-26 10:23:00,1890,1890,1890,1890,2
2026-02-26 10:24:00,1885,1890,1885,1890,3
2026-02-26 10:25:00,1885,1890,1885,1890,2
2026-02-26 10:26:00,1885,1890,1885,1890,10
2026-02-26 10:27:00,1890,1890,1885,1885,6
2026-02-26 10:28:00,1890,1890,1885,1890,6
2026-02-26 10:29:00,1890,1890,1890,1890,21
2026-02-26 10:30:00,1890,1890,1885,1890,5
2026-02-26 10:31:00,1885,1895,1885,1895,22
2026-02-26 10:32:00,1895,1895,1885,1885,68
2026-02-26 10:33:00,1890,1895,1890,1890,17
2026-02-26 10:34:00,1890,1895,1890,1890,12
2026-02-26 10:35:00,1885,1890,1885,1890,4
2026-02-26 10:36:00,1890,1890,1885,1890,9
2026-02-26 10:37:00,1890,1895,1885,1895,21
2026-02-26 10:38:00,1895,1900,1895,1900,131
2026-02-26 10:39:00,1895,1900,1895,1895,4
2026-02-26 10:40:00,1895,1900,1895,1895,7
2026-02-26 10:41:00,1895,1895,1895,1895,56
2026-02-26 10:42:00,1895,1895,1890,1890,25
2026-02-26 10:43:00,1895,1905,1890,1900,449
2026-02-26 10:44:00,1900,1905,1900,1900,6
2026-02-26 10:45:00,1905,1905,1900,1905,35
2026-02-26 10:46:00,1905,1905,1905,1905,19
2026-02-26 10:47:00,1905,1910,1905,1905,79
2026-02-26 10:48:00,1910,1910,1905,1910,14
2026-02-26 10:49:00,1910,1915,1905,1915,226
2026-02-26 10:50:00,1915,1920,1915,1920,180
2026-02-26 10:51:00,1920,1925,1920,1925,58
2026-02-26 10:52:00,1925,1925,1920,1925,41
2026-02-26 10:53:00,1925,1930,1925,1930,47
2026-02-26 10:54:00,1925,1930,1925,1930,25
2026-02-26 10:55:00,1925,1930,1925,1925,64
2026-02-26 10:56:00,1925,1945,1925,1945,178
2026-02-26 10:57:00,1950,1950,1945,1950,59
