ts,Open,Close,High,Volume,Amount,Low
2025-12-11 12:05:00,1470.0,1470.0,1475.0,43,63305000.0,1470.0
2025-12-11 12:06:00,1470.0,1470.0,1475.0,48,70640000.0,1470.0
2025-12-11 12:07:00,1475.0,1470.0,1475.0,49,72110000.0,1470.0
2025-12-11 12:08:00,1470.0,1475.0,1475.0,58,85305000.0,1470.0
2025-12-11 12:09:00,1470.0,1470.0,1475.0,66,97090000.0,1470.0
2025-12-11 12:10:00,1470.0,1470.0,1475.0,39,57380000.0,1470.0
2025-12-11 12:11:00,1470.0,1475.0,1475.0,28,41200000.0,1470.0
2025-12-11 12:12:00,1470.0,1475.0,1475.0,263,387795000.0,1470.0
2025-12-11 12:13:00,1475.0,1470.0,1475.0,516,760355000.0,1470.0
2025-12-11 12:14:00,1475.0,1475.0,1475.0,84,123725000.0,1470.0
2025-12-11 12:15:00,1475.0,1475.0,1475.0,38,55940000.0,1470.0
2025-12-11 12:16:00,1475.0,1470.0,1475.0,37,54460000.0,1470.0
2025-12-11 12:17:00,1470.0,1475.0,1475.0,137,201980000.0,1470.0
2025-12-11 12:18:00,1475.0,1475.0,1475.0,54,79580000.0,1470.0
2025-12-11 12:19:00,1470.0,1475.0,1475.0,52,76650000.0,1470.0
2025-12-11 12:20:00,1470.0,1475.0,1475.0,23,33880000.0,1470.0
2025-12-11 12:21:00,1475.0,1475.0,1475.0,32,47150000.0,1470.0
2025-12-11 12:22:00,1475.0,1470.0,1475.0,53,78140000.0,1470.0
2025-12-11 12:23:00,1470.0,1470.0,1475.0,27,39785000.0,1470.0
2025-12-11 12:24:00,1470.0,1475.0,1475.0,35,51565000.0,1470.0
2025-12-11 12:25:00,1475.0,1470.0,1475.0,40,58920000.0,1470.0
2025-12-11 12:26:00,1470.0,1470.0,1475.0,26,38275000.0,1470.0
2025-12-11 12:27:00,1470.0,1475.0,1475.0,36,53015000.0,1470.0
2025-12-11 12:28:00,1470.0,1475.0,1475.0,32,47130000.0,1470.0
2025-12-11 12:29:00,1470.0,1470.0,1475.0,34,50105000.0,1470.0
2025-12-11 12:30:00,1475.0,1470.0,1475.0,56,82490000.0,1470.0
2025-12-11 12:31:00,1475.0,1475.0,1475.0,40,58925000.0,1470.0
2025-12-11 12:32:00,1475.0,1470.0,1475.0,48,70620000.0,1470.0
2025-12-11 12:33:00,1470.0,1475.0,1475.0,71,104665000.0,1470.0
2025-12-11 12:34:00,1475.0,1470.0,1475.0,41,60400000.0,1470.0
2025-12-11 12:35:00,1470.0,1475.0,1475.0,15,22080000.0,1470.0
2025-12-11 12:36:00,1470.0,1475.0,1475.0,38,55995000.0,1470.0
2025-12-11 12:37:00,1470.0,1475.0,1475.0,33,48570000.0,1470.0
2025-12-11 12:38:00,1470.0,1470.0,1475.0,19,27950000.0,1470.0
2025-12-11 12:39:00,1470.0,1470.0,1475.0,36,53005000.0,1470.0
2025-12-11 12:40:00,1470.0,1470.0,1475.0,29,42710000.0,1470.0
2025-12-11 12:41:00,1475.0,1470.0,1475.0,12,17655000.0,1470.0
2025-12-11 12:42:00,1470.0,1470.0,1475.0,62,91195000.0,1470.0
2025-12-11 12:43:00,1475.0,1475.0,1475.0,33,48595000.0,1470.0
2025-12-11 12:44:00,1475.0,1470.0,1475.0,101,148550000.0,1470.0
2025-12-11 12:45:00,1470.0,1470.0,1475.0,33,48550000.0,1470.0
2025-12-11 12:46:00,1470.0,1470.0,1475.0,32,47090000.0,1470.0
2025-12-11 12:47:00,1470.0,1470.0,1475.0,38,55965000.0,1470.0
2025-12-11 12:48:00,1470.0,1470.0,1475.0,42,61765000.0,1470.0
2025-12-11 12:49:00,1475.0,1475.0,1475.0,77,113450000.0,1470.0
2025-12-11 12:50:00,1470.0,1470.0,1475.0,47,69185000.0,1470.0
2025-12-11 12:51:00,1470.0,1475.0,1475.0,57,83910000.0,1470.0
2025-12-11 12:52:00,1470.0,1470.0,1475.0,54,79485000.0,1470.0
2025-12-11 12:53:00,1470.0,1470.0,1475.0,43,63280000.0,1470.0
2025-12-11 12:54:00,1470.0,1470.0,1475.0,77,113215000.0,1470.0
2025-12-11 12:55:00,1475.0,1470.0,1475.0,44,64735000.0,1470.0
2025-12-11 12:56:00,1475.0,1470.0,1475.0,50,73535000.0,1470.0
2025-12-11 12:57:00,1470.0,1475.0,1475.0,33,48530000.0,1470.0
2025-12-11 12:58:00,1470.0,1475.0,1475.0,43,63240000.0,1470.0
2025-12-11 12:59:00,1470.0,1470.0,1475.0,171,251410000.0,1470.0
2025-12-11 13:00:00,1470.0,1470.0,1475.0,79,116145000.0,1470.0
2025-12-11 13:01:00,1470.0,1475.0,1475.0,20,29425000.0,1470.0
2025-12-11 13:02:00,1470.0,1470.0,1475.0,76,111765000.0,1470.0
2025-12-11 13:03:00,1470.0,1470.0,1475.0,57,83885000.0,1470.0
2025-12-11 13:04:00,1470.0,1470.0,1475.0,96,141205000.0,1470.0
2025-12-11 13:05:00,1470.0,1470.0,1475.0,85,124970000.0,1470.0
2025-12-11 13:06:00,1470.0,1470.0,1475.0,80,117650000.0,1470.0
2025-12-11 13:07:00,1470.0,1470.0,1475.0,171,251415000.0,1470.0
2025-12-11 13:08:00,1470.0,1470.0,1475.0,610,896770000.0,1470.0
2025-12-11 13:09:00,1470.0,1465.0,1470.0,545,800540000.0,1465.0
2025-12-11 13:10:00,1465.0,1470.0,1470.0,54,79230000.0,1465.0
2025-12-11 13:11:00,1465.0,1470.0,1470.0,32,46920000.0,1465.0
2025-12-11 13:12:00,1465.0,1465.0,1470.0,62,90890000.0,1465.0
2025-12-11 13:13:00,1470.0,1470.0,1470.0,57,83645000.0,1465.0
2025-12-11 13:14:00,1465.0,1465.0,1470.0,82,120425000.0,1465.0
2025-12-11 13:15:00,1465.0,1465.0,1470.0,34,49895000.0,1465.0
2025-12-11 13:16:00,1465.0,1465.0,1470.0,43,63105000.0,1465.0
2025-12-11 13:17:00,1465.0,1465.0,1470.0,32,46945000.0,1465.0
2025-12-11 13:18:00,1465.0,1465.0,1470.0,77,113085000.0,1465.0
2025-12-11 13:19:00,1465.0,1470.0,1470.0,113,165970000.0,1465.0
2025-12-11 13:20:00,1465.0,1470.0,1470.0,106,155665000.0,1465.0
2025-12-11 13:21:00,1465.0,1470.0,1470.0,151,221815000.0,1465.0
2025-12-11 13:22:00,1465.0,1470.0,1470.0,186,273040000.0,1465.0
2025-12-11 13:23:00,1465.0,1470.0,1470.0,123,180635000.0,1465.0
2025-12-11 13:24:00,1470.0,1465.0,1470.0,339,498010000.0,1465.0
2025-12-11 13:25:00,1470.0,1470.0,1470.0,3203,4708410000.0,1470.0
